"shop_id","type","title","avg_basket","total_ordered","num_orders","Latitude","Longitude","first_order_date"
679,Formel,First class,22853.0,776990.0,34,"5.39925",-3.95461,"2024-06-07"
680,Informel,Maman Gossé Bleu Marine,41330.0,206650.0,5,"5.3676075",-4.0082944,"2024-06-08"
682,Semi-Formel,Alayache Poulet,5412.0,21650.0,4,"5.2866",-3.9789,"2024-06-10"
683,Formel,Harlem B,23577.0,165040.0,7,"5.380161",-3.974197,"2024-06-12"
684,Informel,Marché d' Anono,5000.0,5000.0,1,"5.344968",-3.972689,"2024-06-14"
685,Informel,Paris Village,10678.0,53390.0,5,"5.298270942610348",-3.9768041857440943,"2024-09-11"
686,Semi-Formel,SMARTBUY MARKET,88124.0,2114979.35,24,"5.3631762",-3.9081975,"2024-06-21"
687,Formel,West,28277.0,1951110.0,69,"5.2964846",-3.9803,"2024-06-21"
688,Formel,Tayba,30300.0,696896.0,23,"5.285495",-3.97641,"2024-06-21"
689,Semi-Formel,La Maison Bantu,17367.0,312600.0,18,"5.399662000",-3.9802449,"2024-06-22"
690,Informel,Chez Pedro,13642.0,81850.0,6,"5.322274",-4.00269,"2024-06-23"
691,Semi-Formel,Akadi Restaurant,8250.0,24750.0,3,"5.4052769",-3.9746774,"2024-06-24"
692,Informel,Cuisine de Mano,3883.0,81550.0,21,"5.3221167",-4.0023946,"2024-06-26"
693,Formel,HÔTEL SANA,144894.0,1593831.0,11,"5.3653382",-3.943328,"2024-06-29"
694,Formel,Le Cha,5550.0,55500.0,10,"5.2875702",-3.9800141,"2024-07-02"
695,Semi-Formel,Doux Fruiterie,33986.0,645727.0,19,"5.327604232",-3.94119611,"2024-07-05"
696,Semi-Formel,La Rôtisserie S Grill,30146.0,723500.0,24,"5.361292464753227",-3.98865006545818,"2024-07-05"
697,Informel,Le Roi des Saucisses Allocodrôme,6375.0,51000.0,8,"5.3381073",-3.9997454,"2024-07-08"
698,Informel,Louise Aba Allocodrome,2460.0,56575.0,23,"5.3382731",-3.9999402,"2024-07-09"
699,Formel,Aqua Park Africa Compagny,50733.0,862459.0,17,"5.3732716",-4.0134167,"2024-07-10"
700,Semi-Formel,Maison Titi Pâtisserie,25014.0,175100.0,7,"5.341064558223128",-3.972479461376339,"2024-07-10"
701,Informel,Cecile allocodrome,1200.0,2400.0,2,"5.3379446",-3.9997864,"2024-07-11"
702,Informel,SAMBIGA,74500.0,670500.0,9,"5.326619271293725",-4.001607045139718,"2024-07-12"
703,Formel,Fuma Restaurant,17167.0,721030.0,42,"5.3987506",-3.97754715,"2024-07-12"
705,Formel,Oregano Zone 4,31244.0,249950.0,8,"5.2848106",-3.9751377,"2024-07-15"
706,Formel,Mister PiliPili,18372.0,330700.0,18,"5.3824056",-3.9716641,"2024-07-18"
707,Formel,Chez Samer Zone 4,7613.0,395875.0,52,"5.2859865",-3.9737030,"2024-07-18"
708,Informel,ETAL BIETRI,48640.0,243200.0,5,"5.3280768",-3.997696,"2024-07-19"
709,Informel,Cheers Melia Restaurant,4542.0,13625.0,3,"5.3379519",-3.9998305,"2024-07-29"
710,Informel,Sephora Allocodrome,2667.0,8000.0,3,"5.3383541",-4.0001673,"2024-07-25"
711,Formel,Pizza Doudou,55769.0,725000.0,13,"5.3624292",-3.9898385,"2024-07-27"
712,Formel,Le Terminal D,33531.0,435900.0,13,"5.2581105",-3.93496717,"2024-07-30"
713,Informel,Chémoiresto,8775.0,157950.0,18,"5.3395428",-4.0011654,"2024-07-30"
715,Informel,Maman Groguet Allocodrome,3444.0,13775.0,4,"5.3382026",-3.9994393,"2024-08-01"
716,Informel,Sylvie Zolo Agba claclo,11208.0,67250.0,6,"5.3382654",-3.9995444,"2024-08-02"
717,Informel,Chez Anne Djebi,7720.0,7720.0,1,"5.369475",-4.008077,"2024-08-07"
718,Formel,Clin d'Oeil Restaurant,19613.0,254975.0,13,"5.3913764",-3.9911427,"2024-08-10"
719,Formel,Liehn&co,32450.0,551649.0,17,"5.3576082",-4.0018277,"2024-08-12"
721,Informel,Boucherie Tapily Allocodrome,14875.0,59500.0,4,"5.3379351",-3.9997276,"2024-08-16"
722,Formel,Villa LEPIC,38693.0,348240.0,9,"5.340202908333521",-4.0113540011272555,"2024-08-22"
723,Informel,SHEFA Restaurant,14180.0,226877.5,16,"5.3491449",-3.9497578,"2024-08-21"
724,Formel,Norima,47188.0,377500.0,8,"5.363681",-3.9921764,"2024-08-27"
726,Semi-Formel,La rôtisserie & Grill,31530.0,126120.0,4,"5.361298099733877",-3.988681760002712,"2024-08-24"
727,Semi-Formel,Goldis,120425.0,240850.0,2,-3.954360,"5.383426","2024-08-26"
728,Formel,Ivory Lounge,250000.0,250000.0,1,"5.366936",-3.9919575,"2024-08-28"
730,Formel,La Villa Ebène,39130.0,39130.0,1,"5.3449453",-4.0953556,"2024-09-06"
732,Semi-Formel,Cak prestations,52000.0,52000.0,1,"5.3851609",-4.0024328,"2024-09-09"
733,Formel,Achta w Assal,88878.0,1155410.0,13,"5.285278",-3.973861,"2024-09-10"
734,Formel,Leîla Restaurant,11250.0,11250.0,1,"5.2859422",-3.9737458,"2024-09-12"
735,Formel,Gaspard Signature,21507.0,107535.0,5,"5.3944362",-3.9819213,"2024-09-17"
737,Formel,Guido's,5256.0,52565.0,10,"5.349086",-3.981570,"2024-09-19"
738,Formel,Dabali Glorieux,13500.0,13500.0,1,"5.369770",-3.957184,"2024-09-19"
739,Formel,MNG Multiservices,21006.0,168050.0,8,"5.405405",-3.981670,"2024-09-19"
740,Formel,Chez Rachelle,31579.0,410525.0,13,"5.404809",-3.984047,"2024-09-19"
742,Formel,Al Turki,40000.0,40000.0,1,"5.2825634334630704",-3.983982450207271,"2024-09-28"
743,Formel,Agha,21714.0,152000.0,7,"5.2840431",-3.9745332,"2024-09-23"
744,Formel,Maison du Poulet,28850.0,115402.0,4,"5.444243804827978",-4.0680215386315055,"2024-09-23"
745,Formel,Chez Tantie ABA,82657.0,578600.0,7,"5.3862549",-4.9689995,"2024-09-23"
746,Formel,Chawarma way,73600.0,73600.0,1,"5.447957",-4.177970,"2024-09-24"
747,Formel,Paintball Restaurant,10750.0,10750.0,1,"5.343189897",-3.9716588076,"2024-09-24"
748,Informel,Ouedrago,5662.0,22650.0,4,"5.3450883",-3.9733714,"2024-09-25"
749,Semi-Formel,Suprême Volaille,9552.0,28656.0,3,"5.406947",-3.9873835,"2024-09-24"
750,Informel,Chata,8000.0,8000.0,1,"5.3356799",-4.0055716,"2024-09-26"
751,Formel,Clinique Hôtel Médical Maria,15000.0,15000.0,1,"5.3265310467655125",-4053583276234314,"2024-09-27"
752,Semi-Formel,Restaurant Super Bon Goût,6417.0,19250.0,3,"5.374952",-4.002658,"2024-09-27"
753,Semi-Formel,Resto Chez Sabine,36905.0,73810.0,2,"5.2812267779954585","39776850422916605","2024-09-30"
755,Formel,NaPizza,1967.0,5900.0,3,"5.280520649490247",-3.9769123640836335,"2024-10-01"
756,Informel,Mohamed Plantation,10000.0,10000.0,1,"5.326838",-4.002313,"2024-10-02"
758,Formel,Petit Bouddah,29950.0,29950.0,1,"5.287056619123336",-3.9793624277463278,"2024-10-03"
761,Formel,Chez Rabi,9100.0,18200.0,2,"5.275976989750302",-3.9813782293113253,"2024-10-03"
780,Formel,Rib's,17900.0,17900.0,1,"5.2933018",-3.98222288,"2024-10-03"
781,Semi-Formel,Restaurant Luielle,103400.0,103400.0,1,"5.3522305",-10.8555911,"2024-10-04"
782,Formel,Lydane,43800.0,43800.0,1,"5.341895637510697",-4.004379788555412,"2024-10-05"
