"restaurantID","name","type","total_ordered","num_orders","longitude","latitude","first_order_date"
28,Mondimoi Group,Semi-Formel,735000.00,26,-4.0026747,5.3337004,"2023-10-02"
29, Port Royal,Semi-Formel,1030850.00,60,-4.0026747,5.3337004,"2023-10-02"
30,Chez Diallo,Semi-Formel,603380.00,118,-4.0051864,5.3390719,"2023-10-02"
31,Ouaga 2000,Informel,1401220.00,185,-4.0026939,5.3217221,"2023-10-02"
32,Chez Emi,Informel,41700.00,4,-4.0025922,5.3220772,"2023-10-02"
33,Tata Nina,Informel,518275.00,163,-4.0028087,5.3216327,"2023-10-02"
34,Chez José,Informel,148850.00,33,-4.0021702,5.3220425,"2023-10-02"
35,Délices de Martine,Informel,111200.00,8,-3.9960398,5.3377165,"2023-10-02"
36,Chez Eliza,Informel,22250.00,2,-4.0026609,5.3221300,"2023-10-02"
37,Chez Eliza,Informel,2900.00,1,-4.0046648,5.3411345,"2023-10-02"
38,Christ P,Semi-Formel,1280970.00,91,-4.0026892,5.3218048,"2023-10-02"
39,Boutou Blockhauss,Informel,57375.00,7,-4.0027514,5.3217207,"2023-10-02"
40,Maman Viviane,Informel,448045.00,63,-4.0027514,5.3217207,"2023-10-02"
41,Pacific Asia,Semi-Formel,228185.00,17,-3.9982760,5.3450847,"2023-10-02"
42,Fabio,Semi-Formel,738120.00,87,-4.0046648,5.3411345,"2023-10-02"
43,Divers,Informel,5265374.00,403,-4.0000000,5.0000000,"2023-10-02"
44,Angelle,Informel,716110.00,44,-4.0024873,5.3220302,"2023-10-02"
45,Kedjenou,Informel,122025.00,40,-4.0027320,5.3217190,"2023-10-02"
46,Kelkepart,Semi-Formel,839505.00,50,-4.0030831,5.3410513,"2023-10-02"
47,Délices de Kam,Semi-Formel,54500.00,2,-3.9956682,5.3390266,"2023-10-02"
48,Chez Cossi,Informel,46600.00,11,-4.0028142,5.3221540,"2023-10-02"
49,Chez Melissa,Informel,691235.00,62,-4.0027891,5.3222845,"2023-10-02"
50,Etus,Semi-Formel,534425.00,27,-3.9998171,5.3376978,"2023-10-02"
